Date	Wtag	Info	Daytext	Textcontent	Dayfont	Daycontent	Dt
30.04.2020	Quinta		Mal. 3:7.	Voltem para mim, e eu voltarei para vocês.	Gên. 4:7. w18.07 18 §§ 5-6.	Um cristão hoje, pode dizer que adora a Deus, mas na verdade está seguindo um caminho que Jeová odeia. (Judas 11) Esse cristão pode até ser alguém que está sempre no campo e que não perde as reuniões. Mas se ao mesmo tempo ele alimenta a mente com fantasias imorais, ganância ou ódio por outro cristão, ele corre o risco de se envolver em pecados graves. (1 João 2:15-17; 3:15) As outras pessoas podem não saber de tudo o que pensamos e fazemos, mas Jeová sabe. E ele sabe se o nosso coração está totalmente do lado dele ou não. (Jer. 17:9, 10) Mas Jeová não desiste facilmente de nós. Quando percebe que alguém está na direção errada, Jeová diz: 'Volte para mim.' Jeová sabe que todos nós lutamos contra nossas fraquezas. Mas ele quer que fiquemos contra o que é mau. (Isa. 55:7) Se fizermos isso, Jeová promete ficar do nosso lado, e ele vai nos dar a força espiritual, emocional e física para vencer nossas fraquezas.	.
01.05.2020	Sexta		Deut. 10:19.	Vocês . . . devem amar o residente estrangeiro.	1 Cor. 14:25. w18.06 22-23 §§ 7-9.	Nos últimos anos, muitos países estão recebendo um grande número de refugiados. Tente aprender como cumprimentá-los na língua deles. Depois, tente aprender algumas frases que podem despertar o interesse deles. Daí, você pode apresentar o jw.org e mostrar vídeos e publicações no idioma deles. Jeová nos treina bem para o trabalho de pregação. Por exemplo, a Reunião Vida e Ministério nos dá mais confiança para fazer revisitas e dirigir estudos bíblicos. Se você tem filhos, o que acha de ensinar a eles como comentar nas próprias palavras? Algumas pessoas aceitaram a verdade depois de ouvirem o comentário simples e sincero de uma criança.	.
02.05.2020	Sabado		Rom. 15:7.	Acolham uns aos outros, assim como o Cristo também acolheu vocês.	Isa. 48:17, 18. w18.06 12 §§ 18-19.	É bom lembrarmos que todos nós estávamos distantes de Deus. (Efé. 2:12) Mas Jeová nos atraiu a ele "com os cordões do amor". (Ose. 11:4; João 6:44) E Jesus nos recebeu com amor. Ele abriu as portas para que nós pudéssemos nos tornar parte da família de Deus, apesar de sermos imperfeitos. Já que Jesus nos recebeu com tanto amor, temos a obrigação de fazer o mesmo com todos. Quanto mais perto estivermos do fim deste sistema de coisas, mais veremos divisões, preconceito e ódio. (Gál. 5:19-21; 2 Tim. 3:13) Mas nós, que servimos a Jeová, queremos ter "a sabedoria de cima", que é imparcial e promove a paz. (Tia. 3:17, 18) Fazer amizade com pessoas de outros países, entender a cultura delas e até aprender o idioma delas nos deixa mais felizes. Assim, nós vamos sentir a nossa 'paz se tornando como um rio e a justiça como as ondas do mar'.	.
03.05.2020	Domingo		Efé. 6:15.	Tendo os pés calçados com a prontidão para declarar as boas novas de paz.	w18.05 29 §§ 9-11.	Um soldado romano não poderia ir para a batalha descalço. Ele usava um calçado parecido com uma sandália, feito com três camadas de couro. Era bem resistente, mas ao mesmo tempo confortável. O resultado era que o soldado podia caminhar com segurança e não escorregar. Assim como os pés dos soldados romanos estavam calçados para a batalha, os pés dos cristãos também precisam de um calçado simbólico: a prontidão, ou disposição, de levar uma mensagem de paz. (Isa. 52:7; Rom. 10:15) Mesmo assim, é preciso coragem para pregar. Roberto, um irmão de 20 anos, diz: "Eu tinha medo de pregar para os meus colegas de escola. Acho que eu ficava meio sem jeito. Olhando pra trás, eu vejo que não tinha motivo para isso. Hoje, fico feliz de dar testemunho para meus colegas." Muitos jovens perceberam que fica mais fácil dar testemunho quando eles estão bem preparados.	.
04.05.2020	Segunda		João 15:8.	Persistam em dar muito fruto.	Mat. 24:13; Mar. 3:14. w18.05 20-21.	Jesus disse aos apóstolos: "Dou-lhes a minha paz." (João 14:27) Como a paz que vem de Jesus pode nos ajudar a 'dar fruto'? Quando não desistimos de pregar, deixamos Jeová e Jesus alegres. Isso, por sua vez, nos dá paz no coração. (Sal. 149:4; Rom. 5:3, 4; Col. 3:15) Depois de falar sobre a alegria que seus apóstolos poderiam sentir, Jesus explicou a importância de eles amarem mais os outros do que a eles mesmos. (João 15:11-13) Em seguida, ele disse: "Vocês são meus amigos." Que privilégio! Eles podiam ter amizade com Jesus! Mas havia uma condição. Eles deviam 'ir e continuar dando fruto'. (João 15:14-16) Em outras palavras, eles tinham que continuar pregando. Uns dois anos antes, Jesus tinha dado uma ordem aos discípulos: "Ao irem, preguem, dizendo: 'O Reino dos céus está próximo.'" (Mat. 10:7) Foi por isso que Jesus disse na noite antes de sua morte que os discípulos deviam perseverar e seguir em frente com a obra de pregação.	.
05.05.2020	Terça		Gál. 6:7	O que a pessoa semear, isso também colherá.	w18.04 28-29 §§ 14-16.	Jovens, é importante nos concentrar em servir a Jeová e ter alvos espirituais. Mas muitos jovens de sua idade pensam em usar a vida para se divertir. E é bem provável que eles convidem você para se divertir com eles. Por isso, mais cedo ou mais tarde você vai ter que mostrar que está determinado a alcançar seus alvos. Não deixe que a pressão dos colegas o distraia. Existem vários jeitos de não cair na pressão dos colegas. Por exemplo, evite situações em que você ache difícil resistir à pressão. (Pro. 22:3) Pense também nas consequências ruins de fazer o que é errado. Além disso, seja humilde e reconheça que precisa de conselhos. Isso vai ajudar você a ouvir sugestões de seus pais e de outros irmãos experientes da congregação. (1 Ped. 5:5, 6) Você é humilde para aceitar conselhos?	.
06.05.2020	Quarta		Apo. 2:25, 26.	Apeguem-se ao que vocês têm até que eu venha. E, àquele que vencer e guardar os meus caminhos até o fim, eu darei autoridade sobre as nações.	w19.02 16 § 10.	Nas mensagens que enviou para algumas congregações da Ásia Menor, Jesus agradeceu e elogiou tudo o que seus seguidores fizeram. Por exemplo, ele disse para a congregação em Tiatira: "Conheço as suas ações, o seu amor, a sua fé, o seu ministério e a sua perseverança, e sei que as suas ações recentes são mais numerosas do que as anteriores." (Apo. 2:19) Jesus não apenas falou do ministério e das ações "mais numerosas" que a congregação estava fazendo, mas também a elogiou pelas qualidades por trás de todo o trabalho. Embora precisasse dar conselhos para alguns de Tiatira, Jesus começou e terminou sua mensagem com encorajamento para eles. (Apo. 2:27, 28) Pense nisto: Jesus, o cabeça de todas as congregações, não tem a obrigação de nos agradecer pelo trabalho que fazemos para ele. Mesmo assim, ele faz questão de mostrar gratidão. Esse é um excelente exemplo para os anciãos!	.
07.05.2020	Quinta		Atos 15:32.	Judas e Silas . . . encorajaram os irmãos com muitos discursos e os fortaleceram.	w18.04 19 §§ 18-20.	O corpo governante do primeiro século dava muito encorajamento aos irmãos, incluindo aqueles que estavam tomando a dianteira na pregação. Eles enviaram dois deles, Pedro e João, para Samaria. Então, Pedro e João oraram para que aqueles novos cristãos recebessem espírito santo. (Atos 8:5, 14-17) Filipe e os novos cristãos devem ter se sentido muito encorajados pelo apoio que o corpo governante deu! Hoje, o Corpo Governante das Testemunhas de Jeová dá encorajamento aos que estão no tempo integral especial e aos irmãos no mundo inteiro. Eles encorajam até mesmo aqueles que se afastaram da congregação. Um exemplo disso é a brochura Volte para Jeová, lançada em 2015. Tudo isso faz a gente sentir o mesmo que os cristãos do primeiro século: nós 'nos alegramos com o encorajamento'!	.
08.05.2020	Sexta		João 8:32.	Vocês conhecerão a verdade, e a verdade os libertará.	João 8:34, 36. w18.04 6-7 §§ 13-14.	Alguns pensam: 'Quanto mais liberdade, melhor!' Mas, na verdade, a liberdade sem limites é uma faca de dois gumes. Tente imaginar o caos que o mundo seria se não existissem limites. Foi por isso que a Enciclopédia Delta Universal disse: "As leis de todas as sociedades organizadas formam um conjunto complexo de liberdades e restrições equilibradas." E é "complexo" mesmo. Pense nos livros e mais livros com todas as leis que o homem já criou. Sem contar os milhares de advogados e juízes que precisam estudar e aplicar essas leis. Note aqui que a verdadeira liberdade envolve duas coisas. Primeiro, aceitar a verdade que Jesus ensinou. Depois, se tornar discípulo dele. Só assim teremos a verdadeira liberdade. Mas liberdade do quê? Jesus responde: "Todo aquele que peca é escravo do pecado. . . . Se o Filho os libertar, vocês serão realmente livres."	.
09.05.2020	Sabado		1 Ped. 3:8.	Todos . . . tenham empatia.	w19.03 14 §§ 1-3.	É muito bom ter ao nosso redor pessoas que se importam com nossos sentimentos e com nosso bem-estar. Elas tentam se colocar em nosso lugar, ou seja, tentam entender nossos pensamentos e como nos sentimos. Elas conseguem perceber do que vamos precisar e nos oferecem ajuda - às vezes, mesmo antes de pedirmos. Com certeza, ficamos felizes quando outros nos tratam com "empatia". Já que somos cristãos, todos nós devemos mostrar empatia. Mas fazer isso pode ser um desafio. Por quê? Um dos motivos é que somos imperfeitos. (Rom. 3:23) Por isso, precisamos lutar contra a tendência que temos de pensar apenas em nós mesmos. Outra coisa que torna difícil para alguns mostrar empatia é o modo como foram criados e algumas dificuldades que tiveram na vida. Além disso, nós podemos ser influenciados pela atitude das pessoas deste mundo. Nestes últimos dias, muitos não se importam nem um pouco com os sentimentos dos outros. Eles só 'amam a si mesmos'. (2 Tim. 3:1, 2) Podemos mostrar consideração pelos sentimentos dos outros assim como Jeová e seu filho Jesus Cristo.	.
10.05.2020	Domingo		Pro. 4:23.	Proteja, . . . o seu coração.	2 Crô. 16:9; Mat. 5:27-30. w19.02 21 § 9; 22 § 11.	O último dos Dez Mandamentos proibia a cobiça. Cobiça é o desejo errado de ter uma coisa que pertence a outra pessoa. (Deut. 5:21; Rom. 7:7) Jeová criou essa lei para ensinar uma lição valiosa - cada israelita tinha que proteger seu coração, ou seja, tomar cuidado com seus pensamentos e sentimentos. Deus sabe que o primeiro passo para uma pessoa fazer o que é errado é ter pensamentos e sentimentos errados. O rei Davi era um homem bom. Mas o desejo de ter a mulher de outro homem fez Davi cometer um pecado. (Tia. 1:14, 15) Davi cometeu adultério, tentou enganar o marido da mulher e então deu um jeito para que ele fosse morto. (2 Sam. 11:2-4; 12:7-11) Jeová vê além da aparência de uma pessoa. Ele consegue enxergar o que somos por dentro, como nosso coração é. (1 Sam. 16:7) Nenhum pensamento, sentimento ou ação pode ficar escondido de Deus. Ele procura o que temos de bom. Mas ele quer que cada um de nós identifique e controle qualquer pensamento errado antes que ele se transforme em uma ação errada.	.
11.05.2020	Segunda		Sof. 2:3.	Busquem a Jeová, todos vocês, mansos da terra . . . Busquem a mansidão.	w19.02 8 §§ 1-2.	A Bíblia diz que Moisés "era de longe o mais manso de todos os homens na face da terra". (Núm. 12:3) Será que isso quer dizer que ele era um homem fraco, indeciso e covarde? É isso o que alguns imaginam quando pensam em uma pessoa mansa. Mas Moisés não era nada disso. Ele era forte, decidido e corajoso. Com a ajuda de Jeová, ele enfrentou o poderoso Faraó do Egito, conduziu talvez uns 3 milhões de pessoas pelo deserto e ajudou a nação de Israel a vencer os inimigos. Nós não temos os mesmos desafios que Moisés teve, mas todo dia temos que lidar com pessoas ou situações que realmente testam a nossa mansidão. Só que temos um motivo bem forte para desenvolver essa qualidade. Jeová promete que "os mansos possuirão a terra". (Sal. 37:11) Você se acha uma pessoa mansa? E os outros acham?	.
12.05.2020	Terça		Isa. 5:20.	Ai dos que dizem que . . . o mau é bom.	w18.06 16 §§ 1-3.	Os humanos têm consciência, um presente que Jeová nos deu. Adão e Eva sabiam bem o que era isso. Afinal, logo depois de pecarem contra Deus, eles tentaram se esconder dele. Por quê? Porque estavam com a consciência pesada. A pessoa que não tem a consciência treinada é como um navio que usa uma bússola quebrada. Sem uma bússola confiável, o navio corre o perigo de perder facilmente a rota com os ventos e as correntes marítimas. Por outro lado, uma bússola que funciona bem ajuda o capitão a manter o navio no trajeto certo. A nossa "bússola" é a consciência. É aquela voz interior que nos diz o que é certo e errado, e que pode nos guiar no caminho certo. Mas, para que a consciência seja um guia seguro, ela precisa estar bem ajustada. Se nossa consciência não estiver bem treinada, ela não vai nos guiar para o que é certo. (1 Tim. 4:1, 2) Pelo contrário, ela pode até nos convencer de que "o mau é bom".	.
13.05.2020	Quarta		Rom. 12:2.	Parem de se amoldar a este mundo.	w18.11 22 §§ 18-19.	Às vezes, os pensamentos do mundo podem vir de forma sutil, e temos que tomar cuidado com isso. Por exemplo, alguns jornais podem apresentar uma notícia que favoreça um lado político. Ou falar da história de uma pessoa que, do ponto de vista do mundo, teve sucesso na vida. Alguns livros e filmes tentam fazer que ideias do tipo "eu em primeiro lugar" ou "família acima de tudo" façam sentido e pareçam certas. Mas eles ignoram o que a Bíblia diz, que pessoas e famílias só serão felizes se amarem a Jeová acima de tudo. (Mat. 22:36-39) Isso não significa que é errado se divertir. Mas é preciso se perguntar: 'Consigo perceber quando uma ideia é errada, mesmo que ela seja apresentada de forma sutil? Será que estou protegendo meus filhos - e até a mim mesmo - de programas de TV ou de leituras que defendem o pensamento do mundo? Estou ajudando meus filhos a ter o ponto de vista de Jeová quando eles se deparam com as ideias do mundo?'.	.
14.05.2020	Quinta		Isa. 41:10.	Não tenha medo, pois estou com você.	w19.01 3 §§ 4-6.	Jeová mostra que está com a gente por nos dar toda a sua atenção e carinho. Note o grande amor que ele sente por nós quando diz: "Pois você se tornou precioso aos meus olhos, você foi honrado e eu o amo." (Isa. 43:4) Nada no Universo vai fazer Jeová deixar de amar os seus servos. Ele nunca vai deixar de ser leal a nós. (Isa. 54:10) Jeová não promete sumir com nossos problemas. O que ele promete é não deixar que os "rios" de dificuldades nos afoguem ou que as "chamas" das provações nos causem danos permanentes. Jeová garante que vai estar do nosso lado e vai nos ajudar a "atravessar" esses desafios. Como ele vai fazer isso? Por nos dar calma. Assim, poderemos continuar leais, mesmo correndo o risco de morrer. (Isa. 41:13; 43:2) Temos que confiar na promessa de Jeová: "Estarei com você." Isso vai nos dar coragem e força para enfrentar provações.	.
15.05.2020	Sexta		Pro. 19:21.	Muitos são os planos no coração do homem, mas é a vontade de Jeová que prevalecerá.	w18.12 19 §§ 1-2.	Se você é jovem, provavelmente é incentivado por professores, orientadores e outras pessoas a fazer uma faculdade e a conseguir um bom emprego. Mas Jeová mostra para você um caminho diferente. É claro que ele espera que você se esforce na escola para que possa se sustentar quando terminar os estudos. (Col. 3:23) Mas, quando você for tomar decisões importantes sobre seu futuro, Jeová o incentiva a seguir os princípios dele. Esses princípios mostram o que temos que fazer nesta época do fim. (Mat. 24:14) Jeová consegue ver o quadro completo das coisas. Ele sabe o que vai acontecer com este mundo e sabe quando o fim vai chegar. (Isa. 46:10; Mat. 24:3, 36) Além disso, Jeová conhece você. Ele sabe o que pode dar felicidade para você e o que pode trazer problemas e tristezas. Pode ser que o conselho de alguns humanos pareça bom, mas nenhum conselho pode ser melhor que o de Jeová.	.
16.05.2020	Sabado		Sal. 37:10.	Os maus deixarão de existir.	w18.12 4 §§ 9-10.	Quando essa época chegar, "os mansos possuirão a terra e terão grande alegria na abundância de paz". Deus também inspirou Davi a escrever: "Os justos possuirão a terra e viverão nela para sempre." (Sal. 37:11, 29; 2 Sam. 23:2) Essas promessas davam uma garantia animadora para os que serviam a Deus. Eles tinham base para acreditar que, num mundo só com pessoas justas, a Terra com o tempo voltaria a ser um paraíso, assim como era o jardim do Éden. Com o tempo, muitos israelitas abandonaram a Jeová e a adoração verdadeira. Então, Deus deixou os babilônios invadir Judá, destruir o país e levar muitos dos israelitas como prisioneiros. (2 Crô. 36:15-21; Jer. 4:22-27) Mas os profetas de Deus predisseram que os israelitas voltariam para sua terra depois de setenta anos. Essas profecias já se cumpriram, mas elas também são importantes para nós hoje e nos dão motivos para acreditar que o Paraíso vai existir de novo na Terra.	.
17.05.2020	Domingo		Isa. 55:9.	Assim como os céus são mais altos do que a terra, assim os meus caminhos são mais altos do que os seus caminhos e os meus pensamentos, do que os seus pensamento.	w18.11 20 §§ 8-10.	Muitos conselhos do mundo vão contra o que a Bíblia ensina. Mas será que hoje em dia os conselhos do mundo são melhores que os da Bíblia? Jesus disse: "A sabedoria se prova justa pelas suas obras." (Mat. 11:19) É verdade que o mundo avançou muito na área da tecnologia. Mas os problemas que realmente atrapalham a felicidade, como guerras, racismo e crime, continuam sem solução. E muitos concordam que o ponto de vista do mundo sobre a imoralidade sexual destrói famílias, causa doenças e traz mais dificuldades. Por outro lado, as pessoas que pensam como Deus têm famílias mais felizes, são mais saudáveis e, no mundo todo, vivem em paz com os outros servos de Jeová. (Isa. 2:4; Atos 10:34, 35; 1 Cor. 6:9-11) Comparando o modo de pensar de Jeová com o do mundo, fica claro qual é o melhor, não é mesmo?	.
18.05.2020	Segunda		1 Cor. 15:33.	Más companhias estragam bons hábitos.	w18.11 11 §§ 10-11.	É verdade que queremos manter um bom relacionamento com nossa família e tratá-la com bondade. Mas devemos tomar cuidado para não desobedecer ao que Jeová diz só para agradar os parentes. Nossos amigos mais próximos devem ser apenas aqueles que servem a Jeová. Toda pessoa que anda na verdade deve ser santa, ou seja, limpa. (Isa. 35:8; 1 Ped. 1:14-16) Todos nós, quando aprendemos a verdade, tivemos que fazer mudanças na vida para seguir os padrões da Bíblia. E, para alguns de nós, as mudanças foram enormes. Mas temos que ter cuidado para nunca trocar a vida pura e santa que temos pela vida imoral deste mundo. O que pode nos ajudar a resistir à tentação de fazer algo imoral? Pense no preço que Jeová pagou para que nós fôssemos santos. Ele deu a vida preciosa de seu Filho, Jesus Cristo. (1 Ped. 1:18, 19) Se queremos continuar limpos do ponto de vista de Jeová, temos que sempre lembrar do enorme valor do sacrifício de Jesus.	.
19.05.2020	Terça		Miq. 7:7.	Esperarei pacientemente pelo Deus da minha salvação. Meu Deus me ouvirá.	w18.10 30 § 17; 31 §§ 19, 22	Muitos servos de tempo integral que passaram por mudanças confirmam que a pregação os ajudou a manter o equilíbrio. O exemplo deles mostra que se fizermos o melhor dentro de nossas circunstâncias e confiarmos totalmente em Jeová, vamos manter a paz interior. Com o tempo, podemos até perceber que as mudanças fizeram bem para nossa espiritualidade. Se a sua vida mudar de uma hora para outra - talvez por causa de uma nova designação, de problemas de saúde ou de novas responsabilidades na família - tenha certeza de que Jeová se importa com você e vai ajudá-lo na hora certa. (Heb. 4:16; 1 Ped. 5:6, 7) Enquanto isso, faça o seu melhor dentro de suas circunstâncias. Ore sempre a Jeová e aprenda a deixar seus problemas nas mãos dele. Se fizer isso, mesmo que sua vida passe por mudanças, você não vai perder sua paz interior.	.
20.05.2020	Quarta		Sal. 103:14.	[Jeová] sabe bem como somos formados, lembra-se de que somos pó.	w18.09 23 § 2; 24 §§ 4-5.	A Bíblia tem muitos exemplos de como Jeová mostra consideração por seus servos. Por exemplo, note como Deus ajudou o menino Samuel a transmitir uma mensagem de julgamento para o sumo sacerdote Eli como lemos em 1 Samuel 3:1-18. A Lei de Jeová dizia que uma pessoa mais velha devia ser respeitada, principalmente se fosse "um maioral". (Êxo. 22:28; Lev. 19:32) Acha que seria fácil para Samuel simplesmente levantar de manhã e falar aquela mensagem forte contra Eli? Claro que não! Pelo contrário, o relato diz que Samuel "estava com medo de contar a Eli a visão". Mas Deus já tinha deixado claro para Eli que era ele que estava chamando Samuel. Por causa disso, Eli tomou a iniciativa de chamar Samuel e dizer para não esconder nada dele. Samuel foi obediente e "lhe contou tudo" e suas palavras eram parecidas com algo que já tinha sido falado. (1 Sam. 2:27-36) Esse relato sobre Samuel e Eli mostra como Jeová é sábio e tem consideração por seus servos.	.
21.05.2020	Quinta		Sal. 15:1, 2.	Ó Jeová, quem pode ser hóspede na tua tenda? ... Aquele que ... fala a verdade no coração.	Zac. 8:16. w18.10 7 § 4; 8 §§ 9-10; 10 § 19	Para boa parte da sociedade, mentir é algo normal. Certo artigo da revista National Geographic com o tema "Por que mentimos" diz que a mentira já faz parte da natureza humana. As pessoas geralmente fazem isso para se proteger, talvez para encobrir um erro ou para se promover, tentando ganhar dinheiro ou alguma outra vantagem. O artigo diz que muitos de nós, humanos, "em questões importantes e insignificantes, mentimos com facilidade - para estranhos, colegas de trabalho, amigos e até para aqueles que amamos". Todas essas mentiras acabam com a confiança e podem destruir relacionamentos. Davi orou: "Sei que sentes prazer quando há verdade no coração da pessoa." (Sal. 51:6) Davi sabia que a honestidade é algo que vem de dentro, vem do coração. Por isso, os cristãos devem 'falar a verdade uns com os outros' em todas as situações.	.
